_id,hxd,color,talla,sku,cantidad,precio,producto,createdAT,__v
68044757e58fe4e2192f1b3d,#FFC0CB,Rosado,Único,01CENCOIROSÚ91,19,126,68044757e58fe4e2192f1b3c,2025-04-16 23:46:17,0
68044757e58fe4e2192f1b3e,#FF0000,Rojo,Único,01CENCOIROJÚ97,10,139,68044757e58fe4e2192f1b3c,2025-04-16 23:46:17,0
68044757e58fe4e2192f1b3f,#0000FF,Azul,Único,01CENCOIAZUÚ35,16,134,68044757e58fe4e2192f1b3c,2025-04-16 23:46:17,0
68044757e58fe4e2192f1b42,#A52A2A,Café,Único,02TECCARCAFÚ65,0,0,68044757e58fe4e2192f1b41,2025-04-17 00:17:17,0
68044757e58fe4e2192f1b43,#800080,Morado,Único,02TECCARMORÚ48,0,0,68044757e58fe4e2192f1b41,2025-04-17 00:17:17,0
68044757e58fe4e2192f1b44,#0000FF,Azul,Único,02TECCARAZUÚ67,0,0,68044757e58fe4e2192f1b41,2025-04-17 00:17:17,0
68044757e58fe4e2192f1b4a,#0000FF,Azul,44,03CANZACAZU435,0,0,68044757e58fe4e2192f1b49,2025-04-17 01:15:17,0
68044757e58fe4e2192f1b4b,#0000FF,Azul,43,03CANZACAZU400,0,0,68044757e58fe4e2192f1b49,2025-04-17 01:15:17,0
68044757e58fe4e2192f1b4c,#0000FF,Azul,41,03CANZACAZU423,52,190,68044757e58fe4e2192f1b49,2025-04-17 01:15:17,0
68044757e58fe4e2192f1b4d,#0000FF,Azul,37,03CANZACAZU344,13,106,68044757e58fe4e2192f1b49,2025-04-17 01:15:17,0
68044757e58fe4e2192f1b4e,#0000FF,Azul,36,03CANZACAZU386,0,0,68044757e58fe4e2192f1b49,2025-04-17 01:15:17,0
68044757e58fe4e2192f1b4f,#FF0000,Rojo,41,03CANZACROJ474,0,0,68044757e58fe4e2192f1b49,2025-04-17 01:15:17,0
68044757e58fe4e2192f1b50,#FF0000,Rojo,36,03CANZACROJ385,0,0,68044757e58fe4e2192f1b49,2025-04-17 01:15:17,0
68044757e58fe4e2192f1b51,#FF0000,Rojo,44,03CANZACROJ430,0,0,68044757e58fe4e2192f1b49,2025-04-17 01:15:17,0
68044757e58fe4e2192f1b52,#FF0000,Rojo,39,03CANZACROJ329,44,209,68044757e58fe4e2192f1b49,2025-04-17 01:15:17,0
68044757e58fe4e2192f1b53,#FF0000,Rojo,42,03CANZACROJ449,41,140,68044757e58fe4e2192f1b49,2025-04-17 01:15:17,0
68044757e58fe4e2192f1b54,#FF0000,Rojo,40,03CANZACROJ479,0,0,68044757e58fe4e2192f1b49,2025-04-17 01:15:17,0
68044757e58fe4e2192f1b55,#FF0000,Rojo,43,03CANZACROJ439,0,0,68044757e58fe4e2192f1b49,2025-04-17 01:15:17,0
68044757e58fe4e2192f1b56,#FF0000,Rojo,35,03CANZACROJ369,0,0,68044757e58fe4e2192f1b49,2025-04-17 01:15:17,0
68044757e58fe4e2192f1b57,#FF0000,Rojo,38,03CANZACROJ338,0,0,68044757e58fe4e2192f1b49,2025-04-17 01:15:17,0
68044757e58fe4e2192f1b58,#008000,Verde,40,03CANZACVER405,14,199,68044757e58fe4e2192f1b49,2025-04-17 01:15:17,0
68044757e58fe4e2192f1b59,#008000,Verde,43,03CANZACVER468,0,0,68044757e58fe4e2192f1b49,2025-04-17 01:15:17,0
68044757e58fe4e2192f1b5a,#008000,Verde,36,03CANZACVER328,0,0,68044757e58fe4e2192f1b49,2025-04-17 01:15:17,0
68044757e58fe4e2192f1b5b,#008000,Verde,38,03CANZACVER353,0,0,68044757e58fe4e2192f1b49,2025-04-17 01:15:17,0
68044757e58fe4e2192f1b5c,#008000,Verde,39,03CANZACVER349,0,0,68044757e58fe4e2192f1b49,2025-04-17 01:15:17,0
68044757e58fe4e2192f1b5d,#008000,Verde,42,03CANZACVER412,0,0,68044757e58fe4e2192f1b49,2025-04-17 01:15:17,0
68044757e58fe4e2192f1b5e,#008000,Verde,41,03CANZACVER456,0,0,68044757e58fe4e2192f1b49,2025-04-17 01:15:17,0
68044757e58fe4e2192f1b5f,#008000,Verde,44,03CANZACVER446,7,132,68044757e58fe4e2192f1b49,2025-04-17 01:15:17,0
68044757e58fe4e2192f1b60,#008000,Verde,37,03CANZACVER338,0,0,68044757e58fe4e2192f1b49,2025-04-17 01:15:17,0
