_id,cliente,venta,producto,variedad,cantidad,precio,createdAT,__v,estado,estado_
68045a2499e4b492e4ec985e,680450bf24880247e3b6d6fd,68045a2499e4b492e4ec985d,68044757e58fe4e2192f1cf5,68044757e58fe4e2192f1cf7,3,126,2024-07-03 09:11:23.094,0,,
68045a2499e4b492e4ec9860,680450bf24880247e3b6d6fe,68045a2499e4b492e4ec985f,68044757e58fe4e2192f2208,68044757e58fe4e2192f2210,1,171,2024-07-03 08:55:32.014,0,True,Confirmado
68045a2599e4b492e4ec9861,680450bf24880247e3b6d6fe,68045a2499e4b492e4ec985f,68044757e58fe4e2192f1ef7,68044757e58fe4e2192f1efa,1,162,2024-07-03 08:55:32.020,0,True,Confirmado
68045a2599e4b492e4ec9862,680450bf24880247e3b6d6fe,68045a2499e4b492e4ec985f,68044757e58fe4e2192f1f93,68044757e58fe4e2192f1f9b,2,140,2024-07-03 08:55:32.004,0,True,Confirmado
68045a2599e4b492e4ec9864,680450bf24880247e3b6d6ff,68045a2599e4b492e4ec9863,68044757e58fe4e2192f1cc8,68044757e58fe4e2192f1ccb,1,111,2024-07-04 18:41:04.027,0,True,Confirmado
68045a2599e4b492e4ec9866,680450bf24880247e3b6d6fe,68045a2599e4b492e4ec9865,68044757e58fe4e2192f227a,68044757e58fe4e2192f227b,1,143,2024-07-05 19:21:56.027,0,True,Confirmado
68045a2699e4b492e4ec9868,680450bf24880247e3b6d6ff,68045a2699e4b492e4ec9867,68044757e58fe4e2192f21ce,68044757e58fe4e2192f21cf,1,66,2024-07-05 10:49:43.072,0,True,Confirmado
68045a2699e4b492e4ec986a,680450bf24880247e3b6d6fd,68045a2699e4b492e4ec9869,68044757e58fe4e2192f226f,68044757e58fe4e2192f2273,1,118,2024-07-06 13:35:48.084,0,True,Confirmado
68045a2699e4b492e4ec986b,680450bf24880247e3b6d6fd,68045a2699e4b492e4ec9869,68044757e58fe4e2192f21bd,68044757e58fe4e2192f21bf,1,248,2024-07-06 13:35:48.018,0,True,Confirmado
68045a2799e4b492e4ec986d,680450bf24880247e3b6d6ff,68045a2799e4b492e4ec986c,68044757e58fe4e2192f2262,68044757e58fe4e2192f2263,1,239,2024-07-06 16:02:12.027,0,True,Confirmado
68045a2799e4b492e4ec986e,680450bf24880247e3b6d6ff,68045a2799e4b492e4ec986c,68044757e58fe4e2192f213d,68044757e58fe4e2192f2142,1,87,2024-07-06 16:02:12.018,0,True,Confirmado
68045a2799e4b492e4ec9870,680450bf24880247e3b6d702,68045a2799e4b492e4ec986f,68044757e58fe4e2192f20f7,68044757e58fe4e2192f20f8,1,172,2024-07-06 11:47:28.011,0,True,Confirmado
68045a2799e4b492e4ec9871,680450bf24880247e3b6d702,68045a2799e4b492e4ec986f,68044757e58fe4e2192f1fc8,68044757e58fe4e2192f1fd0,1,71,2024-07-06 11:47:28.056,0,True,Confirmado
68045a2799e4b492e4ec9873,680450bf24880247e3b6d701,68045a2799e4b492e4ec9872,68044757e58fe4e2192f1bcf,68044757e58fe4e2192f1bd0,1,176,2024-07-06 17:42:00.002,0,True,Confirmado
68045a2899e4b492e4ec9874,680450bf24880247e3b6d701,68045a2799e4b492e4ec9872,68044757e58fe4e2192f2189,68044757e58fe4e2192f2192,2,202,2024-07-06 17:42:00.051,0,True,Confirmado
68045a2899e4b492e4ec9875,680450bf24880247e3b6d701,68045a2799e4b492e4ec9872,68044757e58fe4e2192f1d6c,68044757e58fe4e2192f1d76,1,174,2024-07-06 17:42:00.042,0,True,Confirmado
68045a2899e4b492e4ec9877,680450bf24880247e3b6d702,68045a2899e4b492e4ec9876,68044757e58fe4e2192f1efc,68044757e58fe4e2192f1f00,1,81,2024-07-06 07:26:08.013,0,True,Confirmado
68045a2899e4b492e4ec9878,680450bf24880247e3b6d702,68045a2899e4b492e4ec9876,68044757e58fe4e2192f231c,68044757e58fe4e2192f231d,1,130,2024-07-06 07:26:08.056,0,True,Confirmado
68045a2899e4b492e4ec987a,680450bf24880247e3b6d6fe,68045a2899e4b492e4ec9879,68044757e58fe4e2192f1e65,68044757e58fe4e2192f1e6a,2,189,2024-07-07 19:05:24.060,0,True,Confirmado
68045a2899e4b492e4ec987b,680450bf24880247e3b6d6fe,68045a2899e4b492e4ec9879,68044757e58fe4e2192f217f,68044757e58fe4e2192f2185,1,154,2024-07-07 19:05:24.092,0,True,Confirmado
68045a2999e4b492e4ec987c,680450bf24880247e3b6d6fe,68045a2899e4b492e4ec9879,68044757e58fe4e2192f1f82,68044757e58fe4e2192f1f84,1,95,2024-07-07 19:05:24.096,0,True,Confirmado
68045a2999e4b492e4ec987d,680450bf24880247e3b6d6fe,68045a2899e4b492e4ec9879,68044757e58fe4e2192f1c28,68044757e58fe4e2192f1c29,1,220,2024-07-07 19:05:24.059,0,True,Confirmado
68045a2999e4b492e4ec987f,680450bf24880247e3b6d6ff,68045a2999e4b492e4ec987e,68044757e58fe4e2192f1b8f,68044757e58fe4e2192f1b90,1,251,2024-07-07 16:22:26.088,0,,
68045a2999e4b492e4ec9881,680450bf24880247e3b6d702,68045a2999e4b492e4ec9880,68044757e58fe4e2192f1f56,68044757e58fe4e2192f1f59,1,165,2024-07-07 20:37:02.026,0,True,Confirmado
68045a2a99e4b492e4ec9882,680450bf24880247e3b6d702,68045a2999e4b492e4ec9880,68044757e58fe4e2192f1fe7,68044757e58fe4e2192f1fe8,1,237,2024-07-07 20:37:02.075,0,True,Confirmado
68045a2a99e4b492e4ec9883,680450bf24880247e3b6d702,68045a2999e4b492e4ec9880,68044757e58fe4e2192f1c4b,68044757e58fe4e2192f1c4d,1,249,2024-07-07 20:37:02.074,0,True,Confirmado
68045a2a99e4b492e4ec9885,680450c024880247e3b6d707,68045a2a99e4b492e4ec9884,68044757e58fe4e2192f2373,68044757e58fe4e2192f2375,1,87,2024-07-07 19:01:20.014,0,,
68045a2b99e4b492e4ec9886,680450c024880247e3b6d707,68045a2a99e4b492e4ec9884,68044757e58fe4e2192f1e7e,68044757e58fe4e2192f1e7f,1,104,2024-07-07 19:01:20.060,0,,
68045a2b99e4b492e4ec9887,680450c024880247e3b6d707,68045a2a99e4b492e4ec9884,68044757e58fe4e2192f2363,68044757e58fe4e2192f236b,3,81,2024-07-07 19:01:20.044,0,,
68045a2b99e4b492e4ec9888,680450c024880247e3b6d707,68045a2a99e4b492e4ec9884,68044757e58fe4e2192f1d86,68044757e58fe4e2192f1d92,1,98,2024-07-07 19:01:20.049,0,,
68045a2b99e4b492e4ec988a,680450bf24880247e3b6d6fe,68045a2b99e4b492e4ec9889,68044757e58fe4e2192f22a9,68044757e58fe4e2192f22af,1,136,2024-07-07 09:43:35.075,0,True,Confirmado
68045a2c99e4b492e4ec988b,680450bf24880247e3b6d6fe,68045a2b99e4b492e4ec9889,68044757e58fe4e2192f209f,68044757e58fe4e2192f20a7,1,199,2024-07-07 09:43:35.049,0,True,Confirmado
68045a2c99e4b492e4ec988d,680450bf24880247e3b6d6ff,68045a2c99e4b492e4ec988c,68044757e58fe4e2192f1e0a,68044757e58fe4e2192f1e1e,1,203,2024-07-07 23:08:10.036,0,True,Confirmado
68045a2c99e4b492e4ec988f,680450bf24880247e3b6d6fd,68045a2c99e4b492e4ec988e,68044757e58fe4e2192f1fd6,68044757e58fe4e2192f1fda,1,78,2024-07-08 07:21:09.050,0,True,Confirmado
68045a2d99e4b492e4ec9891,680450bf24880247e3b6d701,68045a2d99e4b492e4ec9890,68044757e58fe4e2192f1ede,68044757e58fe4e2192f1edf,1,84,2024-07-08 18:01:00.061,0,True,Confirmado
68045a2d99e4b492e4ec9892,680450bf24880247e3b6d701,68045a2d99e4b492e4ec9890,68044757e58fe4e2192f203b,68044757e58fe4e2192f203c,1,63,2024-07-08 18:01:00.067,0,True,Confirmado
68045a2e99e4b492e4ec9893,680450bf24880247e3b6d701,68045a2d99e4b492e4ec9890,68044757e58fe4e2192f1c2f,68044757e58fe4e2192f1c3c,1,153,2024-07-08 18:01:00.042,0,True,Confirmado
68045a2e99e4b492e4ec9894,680450bf24880247e3b6d701,68045a2d99e4b492e4ec9890,68044757e58fe4e2192f1bc5,68044757e58fe4e2192f1bc7,1,122,2024-07-08 18:01:00.061,0,True,Confirmado
68045a2e99e4b492e4ec9896,680450bf24880247e3b6d704,68045a2e99e4b492e4ec9895,68044757e58fe4e2192f2268,68044757e58fe4e2192f2269,1,199,2024-07-08 15:44:04.073,0,,
68045a2f99e4b492e4ec9897,680450bf24880247e3b6d704,68045a2e99e4b492e4ec9895,68044757e58fe4e2192f2373,68044757e58fe4e2192f2374,3,119,2024-07-08 15:44:04.089,0,,
68045a2f99e4b492e4ec9898,680450bf24880247e3b6d704,68045a2e99e4b492e4ec9895,68044757e58fe4e2192f2392,68044757e58fe4e2192f2396,1,143,2024-07-08 15:44:04.090,0,,
68045a2f99e4b492e4ec989a,680450c024880247e3b6d708,68045a2f99e4b492e4ec9899,68044757e58fe4e2192f1e84,68044757e58fe4e2192f1e86,1,69,2024-07-08 15:31:04.021,0,True,Confirmado
68045a2f99e4b492e4ec989b,680450c024880247e3b6d708,68045a2f99e4b492e4ec9899,68044757e58fe4e2192f1bc5,68044757e58fe4e2192f1bc7,1,122,2024-07-08 15:31:04.096,0,True,Confirmado
68045a2f99e4b492e4ec989d,680450bf24880247e3b6d6ff,68045a2f99e4b492e4ec989c,68044757e58fe4e2192f204b,68044757e58fe4e2192f204e,1,109,2024-07-09 19:12:34.098,0,True,Confirmado
68045a3099e4b492e4ec989f,680450bf24880247e3b6d6fe,68045a3099e4b492e4ec989e,68044757e58fe4e2192f1e84,68044757e58fe4e2192f1e86,1,69,2024-07-09 13:08:41.077,0,True,Confirmado
68045a3099e4b492e4ec98a0,680450bf24880247e3b6d6fe,68045a3099e4b492e4ec989e,68044757e58fe4e2192f1d5d,68044757e58fe4e2192f1d5f,1,234,2024-07-09 13:08:41.076,0,True,Confirmado
68045a3099e4b492e4ec98a1,680450bf24880247e3b6d6fe,68045a3099e4b492e4ec989e,68044757e58fe4e2192f1dfc,68044757e58fe4e2192f1dfd,2,83,2024-07-09 13:08:41.024,0,True,Confirmado
68045a3199e4b492e4ec98a3,680450bf24880247e3b6d704,68045a3199e4b492e4ec98a2,68044757e58fe4e2192f1efc,68044757e58fe4e2192f1f01,1,63,2024-07-09 19:18:17.086,0,,
68045a3199e4b492e4ec98a4,680450bf24880247e3b6d704,68045a3199e4b492e4ec98a2,68044757e58fe4e2192f1ed3,68044757e58fe4e2192f1ed7,1,120,2024-07-09 19:18:17.025,0,,
68045a3199e4b492e4ec98a5,680450bf24880247e3b6d704,68045a3199e4b492e4ec98a2,68044757e58fe4e2192f20bd,68044757e58fe4e2192f20bf,1,172,2024-07-09 19:18:17.081,0,,
68045a3199e4b492e4ec98a7,680450c024880247e3b6d708,68045a3199e4b492e4ec98a6,68044757e58fe4e2192f1e77,68044757e58fe4e2192f1e79,1,74,2024-07-09 11:33:31.071,0,True,Confirmado
68045a3299e4b492e4ec98a9,680450bf24880247e3b6d6ff,68045a3299e4b492e4ec98a8,68044757e58fe4e2192f22a2,68044757e58fe4e2192f22a7,1,136,2024-07-10 10:51:30.082,0,True,Confirmado
68045a3299e4b492e4ec98aa,680450bf24880247e3b6d6ff,68045a3299e4b492e4ec98a8,68044757e58fe4e2192f1e9e,68044757e58fe4e2192f1ea2,1,136,2024-07-10 10:51:30.036,0,True,Confirmado
68045a3299e4b492e4ec98ab,680450bf24880247e3b6d6ff,68045a3299e4b492e4ec98a8,68044757e58fe4e2192f1e7e,68044757e58fe4e2192f1e82,1,126,2024-07-10 10:51:30.023,0,True,Confirmado
68045a3299e4b492e4ec98ad,680450c024880247e3b6d70c,68045a3299e4b492e4ec98ac,68044757e58fe4e2192f1ef1,68044757e58fe4e2192f1ef2,1,115,2024-07-11 15:56:34.096,0,True,Confirmado
68045a3299e4b492e4ec98af,680450c024880247e3b6d70b,68045a3299e4b492e4ec98ae,68044757e58fe4e2192f211a,68044757e58fe4e2192f211b,2,118,2024-07-11 21:10:09.011,0,True,Confirmado
68045a3399e4b492e4ec98b1,680450bf24880247e3b6d704,68045a3399e4b492e4ec98b0,68044757e58fe4e2192f211a,68044757e58fe4e2192f211b,1,118,2024-07-12 07:46:40.096,0,,
68045a3399e4b492e4ec98b2,680450bf24880247e3b6d704,68045a3399e4b492e4ec98b0,68044757e58fe4e2192f2095,68044757e58fe4e2192f2099,1,101,2024-07-12 07:46:40.047,0,,
68045a3399e4b492e4ec98b3,680450bf24880247e3b6d704,68045a3399e4b492e4ec98b0,68044757e58fe4e2192f1c1f,68044757e58fe4e2192f1c20,1,136,2024-07-12 07:46:40.066,0,,
68045a3399e4b492e4ec98b5,680450bf24880247e3b6d705,68045a3399e4b492e4ec98b4,68044757e58fe4e2192f1b82,68044757e58fe4e2192f1b84,2,189,2024-07-12 13:47:16.060,0,True,Confirmado
